timestamp,speed,network_activity,buffer_health,resolution
2023-11-30 01:00:46,16336 Kbps,417 KB,0.09 s,3840x2160@24
2023-11-30 01:00:47,16465 Kbps,246 KB,0.09 s,3840x2160@24
2023-11-30 01:00:48,16898 Kbps,191 KB,0.09 s,3840x2160@24
2023-11-30 01:00:49,17494 Kbps,412 KB,1.72 s,3840x2160@24
2023-11-30 01:00:50,16722 Kbps,283 KB,1.26 s,3840x2160@24
2023-11-30 01:00:51,16543 Kbps,339 KB,0.76 s,3840x2160@24
2023-11-30 01:00:53,16757 Kbps,264 KB,0.45 s,3840x2160@24
2023-11-30 01:00:54,17448 Kbps,295 KB,0.00 s,3840x2160@24
2023-11-30 01:00:55,17023 Kbps,392 KB,0.00 s,3840x2160@24
2023-11-30 01:00:56,16978 Kbps,264 KB,0.00 s,3840x2160@24
2023-11-30 01:00:57,17013 Kbps,342 KB,0.00 s,3840x2160@24
2023-11-30 01:00:58,16884 Kbps,183 KB,0.00 s,3840x2160@24
2023-11-30 01:00:59,16829 Kbps,128 KB,0.00 s,3840x2160@24
2023-11-30 01:01:00,16223 Kbps,221 KB,0.39 s,3840x2160@24
2023-11-30 01:01:01,15772 Kbps,301 KB,0.00 s,3840x2160@24
2023-11-30 01:01:02,15465 Kbps,313 KB,0.00 s,3840x2160@24
2023-11-30 01:01:03,15315 Kbps,246 KB,0.00 s,3840x2160@24
2023-11-30 01:01:05,15105 Kbps,7 KB,0.00 s,3840x2160@24
2023-11-30 01:01:06,15105 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:01:07,15081 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:01:08,14893 Kbps,129 KB,0.00 s,3840x2160@24
2023-11-30 01:01:09,13691 Kbps,30 KB,0.00 s,3840x2160@24
2023-11-30 01:01:10,13636 Kbps,866 KB,0.00 s,3840x2160@24
2023-11-30 01:01:11,14670 Kbps,316 KB,0.36 s,3840x2160@24
2023-11-30 01:01:12,15023 Kbps,327 KB,0.61 s,3840x2160@24
2023-11-30 01:01:13,15306 Kbps,919 KB,0.14 s,3840x2160@24
2023-11-30 01:01:15,15795 Kbps,182 KB,0.13 s,3840x2160@24
2023-11-30 01:01:16,16260 Kbps,164 KB,0.00 s,3840x2160@24
2023-11-30 01:01:17,17439 Kbps,314 KB,0.00 s,3840x2160@24
2023-11-30 01:01:18,17466 Kbps,271 KB,0.00 s,3840x2160@24
2023-11-30 01:01:19,18164 Kbps,418 KB,0.00 s,3840x2160@24
2023-11-30 01:01:20,19038 Kbps,474 KB,0.02 s,3840x2160@24
2023-11-30 01:01:21,19254 Kbps,342 KB,0.16 s,3840x2160@24
2023-11-30 01:01:22,18184 Kbps,247 KB,0.00 s,3840x2160@24
2023-11-30 01:01:23,17411 Kbps,97 KB,0.08 s,3840x2160@24
2023-11-30 01:01:24,15393 Kbps,269 KB,0.71 s,3840x2160@24
2023-11-30 01:01:26,13391 Kbps,355 KB,0.00 s,3840x2160@24
2023-11-30 01:01:27,12385 Kbps,370 KB,0.00 s,3840x2160@24
2023-11-30 01:01:28,13123 Kbps,338 KB,0.00 s,3840x2160@24
2023-11-30 01:01:29,13305 Kbps,460 KB,0.00 s,3840x2160@24
2023-11-30 01:01:30,13050 Kbps,299 KB,0.07 s,3840x2160@24
2023-11-30 01:01:31,13892 Kbps,510 KB,0.28 s,3840x2160@24
2023-11-30 01:01:32,14035 Kbps,509 KB,0.30 s,3840x2160@24
2023-11-30 01:01:33,15267 Kbps,329 KB,0.05 s,3840x2160@24
2023-11-30 01:01:34,15732 Kbps,189 KB,0.00 s,3840x2160@24
2023-11-30 01:01:35,16685 Kbps,455 KB,0.00 s,3840x2160@24
2023-11-30 01:01:36,16941 Kbps,466 KB,0.00 s,3840x2160@24
2023-11-30 01:01:38,17022 Kbps,233 KB,0.37 s,3840x2160@24
2023-11-30 01:01:39,17825 Kbps,733 KB,0.35 s,3840x2160@24
2023-11-30 01:01:40,18148 Kbps,485 KB,0.47 s,3840x2160@24
2023-11-30 01:01:41,17452 Kbps,24 KB,0.00 s,3840x2160@24
2023-11-30 01:01:42,16557 Kbps,10 KB,0.00 s,3840x2160@24
2023-11-30 01:01:43,14981 Kbps,75 KB,0.00 s,3840x2160@24
2023-11-30 01:01:44,12983 Kbps,41 KB,0.00 s,3840x2160@24
2023-11-30 01:01:45,12098 Kbps,33 KB,0.00 s,3840x2160@24
2023-11-30 01:01:46,9027 Kbps,17 KB,0.00 s,3840x2160@24
2023-11-30 01:01:47,8832 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:01:49,8696 Kbps,34 KB,0.00 s,3840x2160@24
2023-11-30 01:01:50,7111 Kbps,18 KB,0.00 s,3840x2160@24
2023-11-30 01:01:51,5943 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:01:52,5655 Kbps,48 KB,0.00 s,3840x2160@24
2023-11-30 01:01:53,4883 Kbps,34 KB,0.00 s,3840x2160@24
2023-11-30 01:01:54,3289 Kbps,50 KB,0.00 s,3840x2160@24
2023-11-30 01:01:55,2324 Kbps,36 KB,0.00 s,3840x2160@24
2023-11-30 01:01:56,1919 Kbps,18 KB,0.00 s,3840x2160@24
2023-11-30 01:01:57,1621 Kbps,26 KB,0.00 s,3840x2160@24
2023-11-30 01:01:59,1397 Kbps,20 KB,0.00 s,3840x2160@24
2023-11-30 01:02:00,1207 Kbps,24 KB,0.00 s,3840x2160@24
2023-11-30 01:02:01,1209 Kbps,14 KB,0.00 s,3840x2160@24
2023-11-30 01:02:02,1263 Kbps,44 KB,0.00 s,3840x2160@24
2023-11-30 01:02:03,1275 Kbps,23 KB,0.00 s,3840x2160@24
2023-11-30 01:02:04,1283 Kbps,47 KB,0.00 s,3840x2160@24
2023-11-30 01:02:05,1155 Kbps,38 KB,0.00 s,3840x2160@24
2023-11-30 01:02:06,1176 Kbps,2 KB,0.00 s,3840x2160@24
2023-11-30 01:02:07,1178 Kbps,19 KB,0.00 s,3840x2160@24
2023-11-30 01:02:09,1184 Kbps,1 KB,0.00 s,3840x2160@24
2023-11-30 01:02:10,1195 Kbps,10 KB,0.00 s,3840x2160@24
2023-11-30 01:02:11,1217 Kbps,32 KB,0.00 s,3840x2160@24
2023-11-30 01:02:12,1218 Kbps,39 KB,0.00 s,3840x2160@24
2023-11-30 01:02:13,1192 Kbps,10 KB,0.00 s,3840x2160@24
2023-11-30 01:02:14,1185 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:15,1189 Kbps,1 KB,0.00 s,3840x2160@24
2023-11-30 01:02:16,1189 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:17,1206 Kbps,35 KB,0.00 s,3840x2160@24
2023-11-30 01:02:19,1192 Kbps,1 KB,0.00 s,3840x2160@24
2023-11-30 01:02:20,1199 Kbps,2 KB,0.00 s,3840x2160@24
2023-11-30 01:02:21,1174 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:22,1110 Kbps,1 KB,0.00 s,3840x2160@24
2023-11-30 01:02:23,1110 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:24,1084 Kbps,10 KB,0.00 s,3840x2160@24
2023-11-30 01:02:25,1029 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:26,1028 Kbps,7 KB,0.00 s,3840x2160@24
2023-11-30 01:02:27,994 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:29,994 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:30,994 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:31,960 Kbps,12 KB,0.00 s,3840x2160@24
2023-11-30 01:02:32,960 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:33,958 Kbps,0 KB,0.00 s,3840x2160@24
2023-11-30 01:02:34,958 Kbps,12 KB,0.00 s,3840x2160@24
2023-11-30 01:02:35,1015 Kbps,54 KB,0.00 s,3840x2160@24
